,Player,Batting Average,Batting Strike Rate,Bowling Average,Bowling Economy Rate,Bowling Strike Rate,Team,Batting Cluster,Bowling Cluster
64,F du Plessis,34.2,124.47,0.0,0.0,0.0,Chennai Super Kings,0,4
65,G Gambhir,32.34333333333333,115.5,0.0,0.0,0.0,Kolkata Knight Riders,0,4
66,GB Hogg,0.0,0.0,35.5,8.87,24.0,Kolkata Knight Riders,1,11
67,GC Viljoen,1.5,42.85,31.71,9.65,19.7,Kings XI Punjab,4,0
68,GH Vihari,2.0,50.0,0.0,9.0,0.0,Delhi Capitals,4,1
69,GJ Maxwell,21.653333333333336,152.78666666666666,14.75,7.900000000000001,11.8,Kings XI Punjab,11,9
70,Gurkeerat Singh,18.42,90.46333333333332,5.166666666666667,2.583333333333333,4.0,Royal Challengers Bangalore,6,12
71,H Klaasen,11.75,105.635,0.0,0.0,0.0,Rajasthan Royals,2,4
72,HF Gurney,0.0,20.0,34.0,8.81,23.1,Kolkata Knight Riders,13,11
73,HH Pandya,28.8825,137.71,33.8775,8.865,22.925,Mumbai Indians,7,11
74,HM Amla,43.08,138.88,0.0,0.0,0.0,Kings XI Punjab,14,4
75,HV Patel,15.0,45.4525,55.92,10.1025,32.75,Delhi Capitals,4,3
76,Harbhajan Singh,12.329999999999998,80.85,33.7175,7.5125,26.75,Chennai Super Kings,6,11
77,Harpreet Brar,0.0,166.66,0.0,9.6,0.0,Kings XI Punjab,3,1
78,I Sharma,2.0,199.995,13.42,8.76,10.6,Delhi Capitals,5,9
79,IR Jaggi,33.0,84.61,0.0,0.0,0.0,Kolkata Knight Riders,6,4
